time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.08742630694e-07,2.7002793521e-07,10.006864088,0.000225530367138,6.28297813974,0.0,1.48438811791e-05,2.37418926956e-05,0.228784374603,0.010379238385,-0.0114516964605,0.0,476.06989066136424,475.1930747865829,475.99674097096636,476.7901691900548
0.12000000000000001,8.02011251335e-06,9.52963703492e-06,10.025141289,0.00108974786522,6.28263168219,0.0,0.00030343526775,0.000367543473865,0.380416645466,0.0214338023475,0.00367425980284,0.0,452.08191421647126,453.2989388930527,452.98600795553455,453.87383082074757
0.18,3.73484489904e-05,6.88028700229e-05,10.0575950845,0.00296024953328,0.000996959006762,0.0,0.000529387796445,0.00182726925931,0.701235254175,0.0457340144412,0.0512869529385,0.0,500.5924010758638,504.0446688234531,501.3939587196102,503.1562135181272
0.23999999999999996,3.21812557967e-05,0.000260042293981,10.1055553362,0.00563370500342,0.00412221638716,0.0,-0.00106192287859,0.00486187017405,0.897304294362,0.0420951306462,0.0536421598815,0.0,467.50544888017254,467.69050761389474,466.37920555167995,466.0959748016866
0.3,-0.000148632022694,0.000703167675204,10.1665698264,0.0079137581743,0.00724551159076,0.0,-0.00535314909906,0.0102042095254,1.13630143132,0.0282073264557,0.0486761411843,0.0,479.7841119269646,479.4085095324193,480.5630371510482,479.50988398846386
0.36000000000000004,-0.000636854194545,0.00149168188258,10.2385229187,0.00930294722335,0.0097064959011,0.0,-0.011213063526,0.0162443185694,1.26200051577,0.0104050462291,0.0177125475818,0.0,447.16350220487413,444.63506883326204,447.40900279994395,445.95744462275854
0.4200000000000001,-0.00148896441572,0.00263731072691,10.314670573,0.010490956466,0.0110004869701,0.0,-0.0172965336803,0.0220281945822,1.27623673066,0.033963987188,0.0283336673689,0.0,410.1605829496124,411.10272991940076,409.190783656585,411.2825017735589
0.48000000000000015,-0.0027370352536,0.00415978805993,10.3920654165,0.0124422370067,0.0135975539761,0.0,-0.0245107309911,0.0289028122312,1.30355582406,0.0294682243218,0.0631046361026,0.0,413.7179225867284,416.76891149235195,414.7202194358999,414.32566881576656
0.5400000000000001,-0.0045348518392,0.00618697144266,10.4755061207,0.0147634145125,0.0171740034219,0.0,-0.0358306275021,0.0389031786894,1.47758259603,0.0526431322027,0.0514929619445,0.0,462.3764901948234,461.4632199944212,460.17525460271884,462.0065500440823
0.6000000000000002,-0.00706364531691,0.0088478972019,10.5677917116,0.0175520883657,0.0210220904702,0.0,-0.0488322107229,0.050108757256,1.59842993678,0.0298060170771,0.0817700360162,0.0,444.76774264645275,447.24313226641596,446.2867522426735,444.42021143937075
0.6600000000000003,-0.0104427690411,0.0122204696245,10.6665011824,0.0194643720631,0.0262181129469,0.0,-0.0643140232667,0.062494811841,1.69173611374,0.0357108377196,0.0948331231667,0.0,436.9668743942163,438.06066301793675,437.01634484048316,437.50860061566317
0.7200000000000003,-0.014925388025,0.0164255141452,10.7732079283,0.0224372625903,0.0314945482458,0.0,-0.0857246634063,0.0779661046864,1.86486390542,0.0683423957906,0.0683012125369,0.0,463.3723114639355,461.28787339704166,461.19753114188825,463.7687866713585
0.7800000000000004,-0.0206797986068,0.0215436018553,10.8863732759,0.0272925283846,0.0353725866163,0.0,-0.10646085393,0.0930603886423,1.90721981533,0.0984914974876,0.0560533567732,0.0,423.0662673667602,422.01371953660464,419.88480688167556,422.497459530239
0.8400000000000004,-0.0278828770683,0.0277706338002,11.0057777766,0.0338571272409,0.0388687621843,0.0,-0.134015102222,0.115201752682,2.07260692037,0.125260184845,0.0623679937671,0.0,461.31056935198694,461.81110815088937,459.18755008368254,461.31579158389525
0.9000000000000005,-0.0369073059536,0.0355582410863,11.1373081907,0.041326484038,0.0424149366935,0.0,-0.167229291724,0.145286086565,2.31123223725,0.122902748675,0.0516116288554,0.0,484.0622595472638,483.2543051171732,482.85675573603544,482.6916161539425
0.9600000000000005,-0.0478177152904,0.0451448684197,11.2786798825,0.0487333449713,0.0455669858395,0.0,-0.196757573019,0.175001714915,2.40092051759,0.124514808773,0.0543175060307,0.0,439.1805342780799,439.4067331198105,439.117520126062,439.2652376474436
1.0200000000000005,-0.0604100596871,0.056497706436,11.4220811046,0.0561676460684,0.0486408517122,0.0,-0.223256714017,0.204053080163,2.37911412952,0.122657965733,0.0442092939316,0.0,402.6605611951163,401.7470557967381,403.49680847183123,403.34478813688037
1.0800000000000005,-0.0748917143458,0.0700103221488,11.5692164083,0.0634186890794,0.051075336772,0.0,-0.259728744669,0.247142475735,2.52501354177,0.116970372502,0.0320822530715,0.0,457.9706664734631,457.0058922303044,457.3463005856658,456.9058120147442
1.1400000000000006,-0.0914757072654,0.0860941445927,11.722434483,0.0703031733002,0.0530725645789,0.0,-0.293253250312,0.289639663862,2.58206249237,0.109867448587,0.0355936531613,0.0,430.57478753936886,430.8722206348339,429.84871948480554,429.2586096834548
1.2000000000000006,-0.110508028113,0.105389647414,11.8864667608,0.0765334401931,0.0548988884664,0.0,-0.341385509658,0.354340395701,2.88487003225,0.0876928405472,0.0173604305587,0.0,504.3835954501514,503.0652797752939,505.37387568398975,503.7808606487169
1.2600000000000007,-0.13208718508,0.128185153316,12.0616705685,0.0812436126945,0.0567412194204,0.0,-0.37806020533,0.405993462917,2.95501194511,0.0448259276354,0.0490328499079,0.0,435.5600567693684,438.2011999977917,437.972744639205,434.3972562427061
